MatchID,Team,WK,11309
72,Delhi Daredevils,KD Karthik,
72,Kings XI Punjab,KC Sangakkara,
73,Mumbai Indians,L Ronchi,
73,Deccan Chargers,AC Gilchrist,
74,Chennai Super Kings,MS Dhoni,
74,Royal Challengers Bangalore,MV Boucher,
75,Kolkata Knight Riders,BB McCullum,
75,Mumbai Indians,PR Shah,
76,Delhi Daredevils,KD Karthik,
76,Royal Challengers Bangalore,MV Boucher,
77,Rajasthan Royals,M Rawat,
77,Kolkata Knight Riders,WP Saha,
78,Deccan Chargers,AC Gilchrist,
78,Kings XI Punjab,KC Sangakkara,
79,Chennai Super Kings,MS Dhoni,
79,Delhi Daredevils,KD Karthik,
80,Royal Challengers Bangalore,MV Boucher,
80,Deccan Chargers,AC Gilchrist,
81,Kings XI Punjab,KC Sangakkara,
81,Kolkata Knight Riders,WP Saha,
82,Mumbai Indians,YV Takawale,
82,Delhi Daredevils,KD Karthik,
83,Chennai Super Kings,MS Dhoni,
83,Rajasthan Royals,M Rawat,
84,Royal Challengers Bangalore,DT Patil,
84,Kings XI Punjab,U Kaul,
85,Chennai Super Kings,MS Dhoni,
85,Deccan Chargers,AC Gilchrist,
86,Rajasthan Royals,M Rawat,
86,Mumbai Indians,YV Takawale,
87,Delhi Daredevils,KD Karthik,
87,Chennai Super Kings,MS Dhoni,
88,Kolkata Knight Riders,WP Saha,
88,Royal Challengers Bangalore,MV Boucher,
89,Deccan Chargers,AC Gilchrist,
89,Rajasthan Royals,M Rawat,
90,Chennai Super Kings,MS Dhoni,
90,Kings XI Punjab,U Kaul,
91,Kolkata Knight Riders,WP Saha,
91,Deccan Chargers,AC Gilchrist,
92,Delhi Daredevils,KD Karthik,
92,Rajasthan Royals,M Rawat,
93,Royal Challengers Bangalore,MV Boucher,
93,Kings XI Punjab,U Kaul,
94,Kolkata Knight Riders,WP Saha,
94,Delhi Daredevils,AB de Villiers,
95,Chennai Super Kings,MS Dhoni,
95,Mumbai Indians,YV Takawale,
96,Delhi Daredevils,KD Karthik,
96,Deccan Chargers,AC Gilchrist,
97,Kolkata Knight Riders,WP Saha,
97,Mumbai Indians,YV Takawale,
98,Rajasthan Royals,M Rawat,
98,Royal Challengers Bangalore,DT Patil,
99,Delhi Daredevils,KD Karthik,
99,Kings XI Punjab,U Kaul,
100,Kolkata Knight Riders,WP Saha,
100,Chennai Super Kings,MS Dhoni,
101,Mumbai Indians,YV Takawale,
101,Deccan Chargers,AC Gilchrist,
102,Royal Challengers Bangalore,SP Goswami,
102,Delhi Daredevils,KD Karthik,
103,Kolkata Knight Riders,WP Saha,
103,Rajasthan Royals,M Rawat,
104,Kings XI Punjab,U Kaul,
104,Mumbai Indians,PR Shah,
105,Royal Challengers Bangalore,MV Boucher,
105,Chennai Super Kings,PA Patel,
106,Deccan Chargers,AC Gilchrist,
106,Kings XI Punjab,KC Sangakkara,
107,Rajasthan Royals,Kamran Akmal,
107,Chennai Super Kings,PA Patel,
108,Mumbai Indians,PR Shah,
108,Delhi Daredevils,KD Karthik,
109,Deccan Chargers,AC Gilchrist,
109,Royal Challengers Bangalore,SP Goswami,
110,Kings XI Punjab,KC Sangakkara,
110,Kolkata Knight Riders,WP Saha,
111,Mumbai Indians,YV Takawale,
111,Rajasthan Royals,Kamran Akmal,
112,Deccan Chargers,AC Gilchrist,
112,Chennai Super Kings,PA Patel,
113,Royal Challengers Bangalore,SP Goswami,
113,Mumbai Indians,YV Takawale,
114,Kings XI Punjab,KC Sangakkara,
114,Rajasthan Royals,Kamran Akmal,
115,Rajasthan Royals,M Rawat,
115,Delhi Daredevils,KD Karthik,
116,Kings XI Punjab,KC Sangakkara,
116,Chennai Super Kings,PA Patel,
117,Chennai Super Kings,PA Patel,
117,Rajasthan Royals,Kamran Akmal,
118,Mumbai Indians,PR Shah,
118,Chennai Super Kings,PA Patel,
119,Royal Challengers Bangalore,RV Uthappa,
119,Rajasthan Royals,M Rawat,
120,Kings XI Punjab,KC Sangakkara,
120,Delhi Daredevils,KD Karthik,
121,Kolkata Knight Riders,BB McCullum,
121,Deccan Chargers,AC Gilchrist,
122,Chennai Super Kings,MS Dhoni,
122,Royal Challengers Bangalore,RV Uthappa,
123,Kings XI Punjab,KC Sangakkara,
123,Kolkata Knight Riders,BB McCullum,
124,Deccan Chargers,AC Gilchrist,
124,Royal Challengers Bangalore,RV Uthappa,
125,Delhi Daredevils,KD Karthik,
125,Chennai Super Kings,MS Dhoni,
126,Rajasthan Royals,M Rawat,
126,Kolkata Knight Riders,BB McCullum,
127,Royal Challengers Bangalore,RV Uthappa,
127,Kings XI Punjab,KC Sangakkara,
128,Deccan Chargers,AC Gilchrist,
128,Mumbai Indians,PR Shah,
129,Royal Challengers Bangalore,MV Boucher,
129,Delhi Daredevils,KD Karthik,
130,Kings XI Punjab,KC Sangakkara,
130,Rajasthan Royals,M Rawat,
131,Chennai Super Kings,MS Dhoni,
131,Deccan Chargers,AC Gilchrist,
132,Mumbai Indians,PR Shah,
132,Kolkata Knight Riders,BB McCullum,
133,Delhi Daredevils,KD Karthik,
133,Rajasthan Royals,M Rawat,
134,Kolkata Knight Riders,MN van Wyk,
134,Royal Challengers Bangalore,MV Boucher,
135,Kings XI Punjab,KC Sangakkara,
135,Mumbai Indians,PR Shah,
136,Deccan Chargers,AC Gilchrist,
136,Delhi Daredevils,KD Karthik,
137,Chennai Super Kings,MS Dhoni,
137,Rajasthan Royals,M Rawat,
138,Mumbai Indians,PR Shah,
138,Kolkata Knight Riders,MN van Wyk,
139,Royal Challengers Bangalore,MV Boucher,
139,Kings XI Punjab,KC Sangakkara,
140,Deccan Chargers,AC Gilchrist,
140,Rajasthan Royals,NV Ojha,
141,Chennai Super Kings,MS Dhoni,
141,Delhi Daredevils,KD Karthik,
142,Kolkata Knight Riders,MN van Wyk,
142,Kings XI Punjab,KC Sangakkara,
143,Mumbai Indians,PR Shah,
143,Royal Challengers Bangalore,MV Boucher,
144,Chennai Super Kings,MS Dhoni,
144,Deccan Chargers,AC Gilchrist,
145,Rajasthan Royals,NV Ojha,
145,Kings XI Punjab,KC Sangakkara,
146,Kolkata Knight Riders,MN van Wyk,
146,Delhi Daredevils,KD Karthik,
147,Deccan Chargers,AC Gilchrist,
147,Mumbai Indians,PR Shah,
148,Royal Challengers Bangalore,MV Boucher,
148,Rajasthan Royals,NV Ojha,
149,Chennai Super Kings,MS Dhoni,
149,Kings XI Punjab,KC Sangakkara,
150,Mumbai Indians,PR Shah,
150,Delhi Daredevils,KD Karthik,
151,Deccan Chargers,AC Gilchrist,
151,Kings XI Punjab,KC Sangakkara,
152,Rajasthan Royals,NV Ojha,
152,Chennai Super Kings,MS Dhoni,
153,Mumbai Indians,YV Takawale,
153,Royal Challengers Bangalore,MV Boucher,
154,Kolkata Knight Riders,MN van Wyk,
154,Delhi Daredevils,KD Karthik,
155,Deccan Chargers,AC Gilchrist,
155,Rajasthan Royals,NV Ojha,
156,Kolkata Knight Riders,WP Saha,
156,Royal Challengers Bangalore,MV Boucher,
157,Kings XI Punjab,KC Sangakkara,
157,Mumbai Indians,YV Takawale,
158,Delhi Daredevils,KD Karthik,
158,Deccan Chargers,AC Gilchrist,
159,Chennai Super Kings,MS Dhoni,
159,Royal Challengers Bangalore,MV Boucher,
160,Rajasthan Royals,NV Ojha,
160,Mumbai Indians,YV Takawale,
161,Delhi Daredevils,KD Karthik,
161,Kings XI Punjab,KC Sangakkara,
162,Mumbai Indians,YV Takawale,
162,Chennai Super Kings,MS Dhoni,
163,Kolkata Knight Riders,WP Saha,
163,Deccan Chargers,AC Gilchrist,
164,Kings XI Punjab,KC Sangakkara,
164,Deccan Chargers,AC Gilchrist,
165,Delhi Daredevils,KD Karthik,
165,Rajasthan Royals,NV Ojha,
166,Chennai Super Kings,MS Dhoni,
166,Kolkata Knight Riders,WP Saha,
167,Delhi Daredevils,KD Karthik,
167,Royal Challengers Bangalore,MV Boucher,
168,Rajasthan Royals,NV Ojha,
168,Kolkata Knight Riders,SS Shaikh,
169,Chennai Super Kings,MS Dhoni,
169,Kings XI Punjab,KC Sangakkara,
170,Mumbai Indians,PR Shah,
170,Delhi Daredevils,KD Karthik,
171,Royal Challengers Bangalore,MV Boucher,
171,Deccan Chargers,AC Gilchrist,
172,Delhi Daredevils,KD Karthik,
172,Deccan Chargers,AC Gilchrist,
173,Chennai Super Kings,MS Dhoni,
173,Royal Challengers Bangalore,MV Boucher,
174,Deccan Chargers,AC Gilchrist,
174,Royal Challengers Bangalore,MV Boucher,
175,Kolkata Knight Riders,WP Saha,
175,Deccan Chargers,AC Gilchrist,
176,Mumbai Indians,AP Tare,
176,Rajasthan Royals,NV Ojha,
177,Kings XI Punjab,KC Sangakkara,
177,Delhi Daredevils,KD Karthik,
178,Royal Challengers Bangalore,SP Goswami,
178,Kolkata Knight Riders,WP Saha,
179,Deccan Chargers,AC Gilchrist,
179,Chennai Super Kings,MS Dhoni,
180,Rajasthan Royals,NV Ojha,
180,Delhi Daredevils,KD Karthik,
181,Kings XI Punjab,KC Sangakkara,
181,Royal Challengers Bangalore,MV Boucher,
182,Chennai Super Kings,MS Dhoni,
182,Kolkata Knight Riders,WP Saha,
183,Mumbai Indians,AP Tare,
183,Delhi Daredevils,KD Karthik,
184,Rajasthan Royals,NV Ojha,
184,Royal Challengers Bangalore,MV Boucher,
185,Delhi Daredevils,KD Karthik,
185,Chennai Super Kings,PA Patel,
186,Deccan Chargers,AC Gilchrist,
186,Kings XI Punjab,KC Sangakkara,
187,Rajasthan Royals,NV Ojha,
187,Kolkata Knight Riders,WP Saha,
188,Mumbai Indians,AP Tare,
188,Royal Challengers Bangalore,MV Boucher,
189,Deccan Chargers,AC Gilchrist,
189,Delhi Daredevils,KD Karthik,
190,Kings XI Punjab,KC Sangakkara,
190,Chennai Super Kings,PA Patel,
191,Kolkata Knight Riders,WP Saha,
191,Mumbai Indians,AP Tare,
192,Royal Challengers Bangalore,MV Boucher,
192,Chennai Super Kings,PA Patel,
193,Rajasthan Royals,NV Ojha,
193,Kings XI Punjab,KC Sangakkara,
194,Delhi Daredevils,KD Karthik,
194,Royal Challengers Bangalore,MV Boucher,
195,Chennai Super Kings,MS Dhoni,
195,Mumbai Indians,AP Tare,
196,Deccan Chargers,AC Gilchrist,
196,Rajasthan Royals,NV Ojha,
197,Kolkata Knight Riders,WP Saha,
197,Kings XI Punjab,KC Sangakkara,
198,Rajasthan Royals,NV Ojha,
198,Chennai Super Kings,MS Dhoni,
199,Mumbai Indians,AT Rayudu,
199,Deccan Chargers,AC Gilchrist,
200,Delhi Daredevils,KD Karthik,
200,Kolkata Knight Riders,WP Saha,
201,Kings XI Punjab,MS Bisla,
201,Mumbai Indians,AT Rayudu,
202,Royal Challengers Bangalore,RV Uthappa,
202,Chennai Super Kings,MS Dhoni,
203,Delhi Daredevils,KD Karthik,
203,Rajasthan Royals,NV Ojha,
204,Kolkata Knight Riders,WP Saha,
204,Deccan Chargers,AC Gilchrist,
205,Kings XI Punjab,KC Sangakkara,
205,Royal Challengers Bangalore,RV Uthappa,
206,Chennai Super Kings,MS Dhoni,
206,Rajasthan Royals,NV Ojha,
207,Mumbai Indians,AT Rayudu,
207,Deccan Chargers,AC Gilchrist,
208,Kolkata Knight Riders,WP Saha,
208,Kings XI Punjab,MS Bisla,
209,Delhi Daredevils,KD Karthik,
209,Royal Challengers Bangalore,RV Uthappa,
210,Rajasthan Royals,NV Ojha,
210,Deccan Chargers,AC Gilchrist,
211,Chennai Super Kings,MS Dhoni,
211,Mumbai Indians,AT Rayudu,
212,Kings XI Punjab,MS Bisla,
212,Rajasthan Royals,NV Ojha,
213,Kolkata Knight Riders,WP Saha,
213,Delhi Daredevils,KD Karthik,
214,Royal Challengers Bangalore,RV Uthappa,
214,Deccan Chargers,AC Gilchrist,
215,Mumbai Indians,AT Rayudu,
215,Kings XI Punjab,KC Sangakkara,
216,Chennai Super Kings,MS Dhoni,
216,Deccan Chargers,AC Gilchrist,
217,Kolkata Knight Riders,WP Saha,
217,Royal Challengers Bangalore,RV Uthappa,
218,Delhi Daredevils,KD Karthik,
218,Kings XI Punjab,KC Sangakkara,
219,Mumbai Indians,AT Rayudu,
219,Rajasthan Royals,NV Ojha,
220,Deccan Chargers,AC Gilchrist,
220,Royal Challengers Bangalore,RV Uthappa,
221,Mumbai Indians,C Madan,
221,Delhi Daredevils,KD Karthik,
222,Kolkata Knight Riders,WP Saha,
222,Chennai Super Kings,MS Dhoni,
223,Rajasthan Royals,NV Ojha,
223,Royal Challengers Bangalore,RV Uthappa,
224,Chennai Super Kings,MS Dhoni,
224,Delhi Daredevils,KD Karthik,
225,Kings XI Punjab,KC Sangakkara,
225,Deccan Chargers,AC Gilchrist,
226,Mumbai Indians,AP Tare,
226,Royal Challengers Bangalore,RV Uthappa,
227,Rajasthan Royals,NV Ojha,
227,Kolkata Knight Riders,BB McCullum,
228,Kings XI Punjab,KC Sangakkara,
228,Chennai Super Kings,MS Dhoni,
229,Deccan Chargers,AC Gilchrist,
229,Delhi Daredevils,KD Karthik,
230,Mumbai Indians,AP Tare,
230,Kolkata Knight Riders,WP Saha,
231,Mumbai Indians,AT Rayudu,
231,Royal Challengers Bangalore,RV Uthappa,
232,Chennai Super Kings,MS Dhoni,
232,Deccan Chargers,AC Gilchrist,
233,Deccan Chargers,AC Gilchrist,
233,Royal Challengers Bangalore,RV Uthappa,
234,Chennai Super Kings,MS Dhoni,
234,Mumbai Indians,AT Rayudu,
235,Chennai Super Kings,MS Dhoni,
235,Kolkata Knight Riders,MS Bisla,
236,Deccan Chargers,KC Sangakkara,
236,Rajasthan Royals,AG Paunikar,
